region,month,thickness_mm
hokkaido,1,5
hokkaido,2,5
hokkaido,3,5
hokkaido,4,5
hokkaido,5,4
hokkaido,6,3
hokkaido,7,3
hokkaido,8,3
hokkaido,9,3
hokkaido,10,4
hokkaido,11,5
hokkaido,12,5
niigata,1,5
niigata,2,5
niigata,3,5
niigata,4,4
niigata,5,3
niigata,6,3
niigata,7,3
niigata,8,3
niigata,9,3
niigata,10,3
niigata,11,4
niigata,12,5
chiba,1,5
chiba,2,5
chiba,3,5
chiba,4,4
chiba,5,3
chiba,6,3
chiba,7,2
chiba,8,2
chiba,9,3
chiba,10,3
chiba,11,4
chiba,12,5
shonan,1,5
shonan,2,5
shonan,3,4
shonan,4,4
shonan,5,3
shonan,6,3
shonan,7,2
shonan,8,2
shonan,9,3
shonan,10,3
shonan,11,4
shonan,12,5
izu-islands,1,4
izu-islands,2,4
izu-islands,3,4
izu-islands,4,3
izu-islands,5,3
izu-islands,6,2
izu-islands,7,2
izu-islands,8,2
izu-islands,9,2
izu-islands,10,3
izu-islands,11,3
izu-islands,12,4
miyazaki,1,4
miyazaki,2,4
miyazaki,3,3
miyazaki,4,3
miyazaki,5,3
miyazaki,6,2
miyazaki,7,2
miyazaki,8,2
miyazaki,9,2
miyazaki,10,3
miyazaki,11,3
miyazaki,12,4
